RMSE,SPECTRAL_CENTROID,SPECTRAL_BANDWIDTH,ROLLOFF,ZERO_CROSSING_RATE,MFCC_FEATURE_0,MFCC_FEATURE_1,MFCC_FEATURE_2,MFCC_FEATURE_3,MFCC_FEATURE_4,MFCC_FEATURE_5,MFCC_FEATURE_6,MFCC_FEATURE_7,MFCC_FEATURE_8,MFCC_FEATURE_9,MFCC_FEATURE_10,MFCC_FEATURE_11,MFCC_FEATURE_12,MFCC_FEATURE_13,MFCC_FEATURE_14,MFCC_FEATURE_15,MFCC_FEATURE_16,MFCC_FEATURE_17,MFCC_FEATURE_18,MFCC_FEATURE_19,LABEL
0.03364557,1523.093601176316,1627.7562531665549,2986.075533353365,0.0831129807692307,-281.98926,135.22166,-30.754803,28.709341,-4.9819465,7.8936186,-7.0558457,4.271672,3.262421,11.049931,3.2614338,4.4882116,-4.4361906,0.9093869,0.15270221,-0.4134634,4.908321,-1.5685328,11.166565,-3.7696676,piano
0.20961323,1970.758472562202,2202.5767854902424,4143.733661358173,0.0875563401442307,-39.0225,105.473785,-15.755032,34.957916,7.9646072,17.353344,-1.7123077,4.798738,-6.7263765,-3.763527,-12.087018,0.23644266,-6.8567963,-1.7691389,-7.262663,-1.2234459,-6.05571,-3.277271,-5.3441343,0.22607131,electric_guitar
0.3359243,2675.0011487289494,2849.4757399872565,6125.865009014423,0.0887807992788461,24.152483,78.110954,9.394855,27.94921,10.106745,18.619987,4.476648,10.101301,0.47854832,5.5951133,2.780935,4.0845203,2.6085138,3.2867646,-0.8217987,4.38568,-1.044341,1.7768306,-0.17518282,3.1559799,electric_guitar
0.08223988,2646.7677300630003,2626.763599674592,5509.3528395432695,0.1007737379807692,-122.70322,64.20114,-4.515223,51.67944,20.757057,16.787346,8.354047,4.835218,0.10244258,9.594865,4.9343667,0.9173362,-2.2480168,11.381333,2.968758,4.8438616,3.019249,-1.421159,1.6829596,3.9253616,electric_guitar
0.18897976,2614.8607729399328,2512.292593095187,5300.812049278846,0.1275841346153846,-19.774275,75.288475,-8.44284,41.541904,5.409585,15.033898,-4.37908,0.60159147,6.332342,1.467825,-1.5507317,9.433319,-1.350392,4.450556,7.321849,3.217755,-4.502125,2.2847722,2.9560454,8.1044235,electric_guitar
0.03944777,1033.792253402946,1214.668157778679,1517.01416015625,0.0688589242788461,-367.89236,162.16908,-4.3687577,-8.095378,3.9145174,-12.032202,-6.77035,8.303759,4.3463078,-2.194796,-6.0095506,-1.0974029,-1.339239,3.0249195,2.7117023,2.238053,1.0974725,-4.2081976,-7.0842752,-9.512334,piano
0.07336303,2201.7456375190327,2415.8182114952624,4584.253305288462,0.0817345252403846,-167.23602,75.18316,-9.969826,51.446476,18.6324,16.282875,17.034645,15.230895,5.056591,4.9719286,0.7833626,6.085123,-4.0778065,8.555127,-5.86441,7.82092,-1.0454892,3.703134,-2.8209937,-5.5213223,electric_guitar
0.25461724,1794.894516649771,2175.638981861267,3938.257211538461,0.0798264723557692,-73.75406,106.16498,5.4000144,42.91531,-3.3290167,1.2490157,-15.5373745,16.395369,-3.3688116,1.1643897,-6.9276834,6.5509953,-7.0829234,4.035842,-0.87165505,2.045381,-11.153179,-8.727372,-8.193466,-2.1826255,electric_guitar
0.029998736,1230.8706075794005,1397.199330926168,2304.384014423077,0.0675931490384615,-313.2699,161.12434,-33.199345,20.852942,12.924313,-10.644897,-3.4239862,3.9537015,-2.860688,1.2905743,-5.943024,3.9536846,-1.8974795,7.867015,0.6667025,0.24054968,-1.078218,-3.2290537,3.5301778,-1.4381564,piano
0.11405789,877.6981754169739,1809.59574562053,1234.1009990985576,0.0242600661057692,-285.08203,139.16217,67.35993,40.489254,13.977466,13.424022,5.5955396,4.840985,-4.8845043,1.1453108,-3.8857934,-2.1924386,-11.963575,-7.109871,-6.2728677,-2.0533218,-5.836265,0.2794941,-1.4655696,0.8843889,electric_guitar
0.18843123,2243.50068208495,2528.4566743465293,5087.964618389423,0.08203125,-86.9325,93.334305,12.585077,16.080606,-2.5248854,11.681506,-20.37944,-1.1110117,-8.123696,-3.5954444,-6.8239775,-1.5251479,4.6422777,14.041725,8.892126,8.572841,-3.474211,-7.7180796,-13.271606,-10.677183,electric_guitar
0.07184727,1693.108750553147,1600.5382671172608,3237.102989783654,0.1012545072115384,-210.3376,132.60832,-40.79599,44.669598,-25.791039,-17.18572,-4.8319907,-2.1959636,-3.039699,2.1477227,-1.0122668,-10.563736,-9.991482,-0.5704312,0.024455767,0.040474113,9.104238,5.2272797,-4.4162407,7.388326,piano
0.28564143,2250.1100962358382,2162.404966135088,4491.080791766827,0.1103177584134615,26.45456,97.22394,-32.436745,39.453907,-1.0513474,12.63787,2.209214,11.351886,6.768093,1.2161642,1.186818,2.5153615,-2.6292381,1.0578526,-5.759074,2.5164413,-6.7129564,-4.1280994,2.1800697,1.0510153,electric_guitar
0.060320128,876.987048079989,945.5852365741785,1379.2844801682693,0.0541466346153846,-298.18915,196.74385,-29.573078,9.902428,-7.7570586,-9.77843,-5.5071654,-6.163039,-5.498652,-2.351578,-14.9522505,-13.6074705,-5.809145,0.75526947,1.1579384,-0.38652655,-2.34651,-10.841743,-8.963418,0.4059676,piano
